In 100 Gramm	kcal	 kjoule	 BE	 KH (g)	 F (g)	 EW (g)
Schnittkäse, halbfest 45 % Fett in Trockenmasse	316	1329	0	0,2	24	22
Schnittkäse, halbfest, light 12 % Fett	208	874	0	0,1	12	25
Schwarzwurst, Stuttgarter Schwarze	327	1372	0,5	4	18	34
Schweinebauch, Bauchfleisch, Bauchspeck, Wammerl, Wellfleisch, durchwachsener Speck, gegrillt	403	1670	0	0	33,5	25,3
Schweinefilets, Schweinelenden, Schweinemedaillons, Schweinefiletsteaks, Schweinelendchen (roh)	106	448	0	0	2	22
Schweinefleisch, mager (roh)	109	459	0	0	2,4	21,8
Schweinefleisch, mittelfett (roh)	168	703	0	0	9,8	20
Schweine-Grieben, Schweine-Grammeln, Knusper-Grammeln	806	3385	0	0	76,5	22,5
Schweine-Hackfleisch (Schweinehack, Schweinegehacktes, Hackepeter, Thüringer Mett, Schweinemett, Faschiertes, Haschee, Schabefleisch) (roh)	179	747	0	0	11	20
Schweinehaxen, Eisbein (Schweinshaxe) (roh)	200	848	0	0	12,5	20
Schweinekoteletts, paniert	250	1045	0,5	7	14	24
Schweinekoteletts, Schweinskoteletts (roh)	133	558	0	0	5,2	21,6
Schweinekrusten-Chips, Schweine-Chips, Schweineschwarten-Chips (aus Schweineschwarten / Speckschwarten)	553	2322	0	0	31	63
Schweineleber (Schweinsleber) (roh)	131	549	0	0,5	4,9	20,7
Schweinerippchen, gekocht (Rippenspeer, "Spareribs", Schälrippe, Bauchrippe, Leiterchen, Schäripple, Rippli, Ripperl, Frankfurter Rippchen)	265	1102	0	1,2	18,9	22,5
Schweinerollbraten mit Zwiebel-Tomaten-Soße	153	643	0,5	1	7	20
Schweinerücken, gegart (Karbonade, Karree, Kotelettstrang, Rippenstück, Schweinerücken, Schweinelachs, Minutensteaks)	216	906	0	0	11	27
Schweineschinken, geräuchert (Hinterschinken, z. B. Schwarzwälder Schinken, Katenschinken)	280	1170	0	0	16	34
Schweineschinken, Kochschinken (Vorderschinken)	125	528	0	0	3,7	22,5
Schweine-Schinkenspieß, Backschinken (Brotauflage)	126	530	0	1	4,1	20
Schweineschnitzel (roh)	106	448	0	0	1,9	22,2
Schweineschnitzel, natur	177	746	0	0	6	30,8
Schweineschnitzel, paniert	230	963	1	8	10,5	25,8
Schweinesteaks, gebraten	255	1079	0	0	15	27,5
Schweinesteaks, gegrillt (Grillsteaks)	182	765	0	0,1	6	30
Schweinezunge, Schweinszunge, gegrillt	181	759	0	1	5	31
Seeaal (Rückenstücke vom Dornhai)	300	1245	0	0	24	21
Seitan, Saitan, Mianjin (auf Weizengrundlage, stark glutenhaltig) Achtung: Schlechte Ware kann bis zu 40 g Kohlenhydrate enthalten!	135	569	0,5	4	1,5	25
Serranoschinken (vom Schwein)	219	922	0	0,1	10	30
Shitake, Shijtake, Shiitake, getrocknet	336	1411	4,5	53	3,5	20,5
Sojabohnen, reif (Soyabohnen)	323	1350	0,5	6,3	18,1	33,7
Sojabrot, Soja-Brot, LowCarb-Brot	404	1695	0	6,1	24	37
Sojaeiweiß-Pulver, Sojaprotein-Pulver (Soyaeiweiß-Pulver)	392	1603	0	0,2	1,2	88
Sojaflocken (Soja-Flocken, Soyaflocken)	360	1512	0,5	4	20	37,5
Sojamehl, Vollfett (Soyamehl)	347	1449	0	3,1	20,6	37,3
Sojamiso (Soyamiso)	230	968	1	12	10	21
Sojanudeln, roh (Soyanudeln)	387	1637	3	32	9	41
Sonnenblumen-Kerne	580	2405	1	12,3	49	22,5
Speisegelatine	346	1453	0	0	0,1	84,2
Spirulina, getrocknet (Algen in alkalischen Binnengewässern, antiviral gegen Epstein-Barr-Virus)	376	1579	0	3	12	60
Stilton (engl. Blauschimmelkäse)	418	1755	0	0	35	22
Straußenfleisch, Straußenfilet (Vogel Strauß) (roh)	102	430	0	0	1,3	22
Stremellachs, geräuchert (Filetstreifen, heißgeräuchert), Räucherfisch	288	1186	0	0	19,4	28,4
Stubenküken, gegrillt (mit Semmelbrösel und Mehl)	208	873	1	8	10	20
Suppenhuhn, gekocht (Hähnchen, Hühnchen, Hühnerfleisch)	251	1056	0	0	18	20
Süßlupinenmehl (diabetiker-freundliche Mehlzumischung; Durchschnitt, da in Fett- und Eiweißgehalt sehr schwankend: max. ca. 290 kcal)	253	1062	0,5	5	6	42
